SELECT Bike_stands, available_bikes, available_bike_stands, ID_station, Pluie, Temperature, Risque_neige, request_time FROM Station_dynamic NATURAL JOIN Station_static NATURAL JOIN Meteo WHERE ID_station = 5020 AND request_time BETWEEN 1414753275.636954 AND 1414839675.761291
SELECT Bike_stands, available_bikes, available_bike_stands, ID_station, Pluie, Temperature, Risque_neige, request_time FROM Station_dynamic NATURAL JOIN Station_static NATURAL JOIN Meteo WHERE ID_station = 5020 AND request_time BETWEEN 1415358000.820908 AND 1415444400.94688
Criteres : Heure Minute Temperature Pluie
horodotage : 30.0
49
(21, 17, 4, 5020, 0.0, 293.1, u'FALSE', 1414753275.636954)
(21, 10, 11, 5020, 0.0, 293.1, u'FALSE', 1414755075.639469)
(21, 16, 5, 5020, 0.0, 293.1, u'FALSE', 1414756875.641913)
(21, 19, 2, 5020, 0.0, 290.9, u'FALSE', 1414758675.644429)
(21, 21, 0, 5020, 0.0, 290.9, u'FALSE', 1414760475.646923)
(21, 15, 6, 5020, 0.0, 290.9, u'FALSE', 1414762275.649406)
(21, 20, 1, 5020, 0.0, 290.9, u'FALSE', 1414764075.652066)
(21, 10, 11, 5020, 0.0, 290.9, u'FALSE', 1414765875.654574)
(21, 13, 8, 5020, 0.0, 290.9, u'FALSE', 1414767675.657017)
(21, 14, 7, 5020, 0.0, 285.7, u'FALSE', 1414769475.659605)
(21, 8, 13, 5020, 0.0, 285.7, u'FALSE', 1414771275.66217)
(21, 13, 8, 5020, 0.0, 285.7, u'FALSE', 1414773075.66489)
(21, 5, 16, 5020, 0.0, 285.7, u'FALSE', 1414774875.667476)
(21, 0, 21, 5020, 0.0, 285.7, u'FALSE', 1414776675.670121)
(21, 2, 19, 5020, 0.0, 285.7, u'FALSE', 1414778475.672603)
(21, 3, 18, 5020, 0.0, 284.9, u'FALSE', 1414780275.675069)
(21, 7, 14, 5020, 0.0, 284.9, u'FALSE', 1414782075.677652)
(21, 11, 10, 5020, 0.0, 284.9, u'FALSE', 1414783875.680257)
(21, 10, 11, 5020, 0.0, 284.9, u'FALSE', 1414785675.682869)
(21, 10, 11, 5020, 0.0, 284.9, u'FALSE', 1414787475.685399)
(21, 12, 9, 5020, 0.0, 284.9, u'FALSE', 1414789275.687763)
(21, 10, 11, 5020, 0.0, 284.2, u'FALSE', 1414791075.690198)
(21, 10, 11, 5020, 0.0, 284.2, u'FALSE', 1414792875.692866)
(21, 7, 14, 5020, 0.0, 284.2, u'FALSE', 1414794675.695375)
