Iteration 0
Amelioration : 0; Erreur validation : 0.113705; Erreur apprentissage : 0.076303
Amelioration : 2; Erreur validation : 0.101568; Erreur apprentissage : 0.058742
Amelioration : 3; Erreur validation : 0.079869; Erreur apprentissage : 0.051078
Amelioration : 4; Erreur validation : 0.071899; Erreur apprentissage : 0.047075
Amelioration : 7; Erreur validation : 0.065476; Erreur apprentissage : 0.047566
Amelioration : 8; Erreur validation : 0.059677; Erreur apprentissage : 0.042708
Amelioration : 15; Erreur validation : 0.058680; Erreur apprentissage : 0.046616
Amelioration : 26; Erreur validation : 0.058625; Erreur apprentissage : 0.045274
Amelioration : 35; Erreur validation : 0.058159; Erreur apprentissage : 0.042412
Amelioration : 43; Erreur validation : 0.056410; Erreur apprentissage : 0.048271
Amelioration : 144; Erreur validation : 0.056073; Erreur apprentissage : 0.037467
Amelioration : 145; Erreur validation : 0.055385; Erreur apprentissage : 0.035418
Amelioration : 148; Erreur validation : 0.055320; Erreur apprentissage : 0.046744
Amelioration : 149; Erreur validation : 0.054258; Erreur apprentissage : 0.041099
Amelioration : 406; Erreur validation : 0.052861; Erreur apprentissage : 0.051739
Amelioration : 441; Erreur validation : 0.052725; Erreur apprentissage : 0.061197
Amelioration : 510; Erreur validation : 0.051912; Erreur apprentissage : 0.051390
Amelioration : 693; Erreur validation : 0.049166; Erreur apprentissage : 0.059078
Amelioration : 1144; Erreur validation : 0.048593; Erreur apprentissage : 0.043720
Amelioration : 1368; Erreur validation : 0.048274; Erreur apprentissage : 0.037105
Iteration 10000
