SELECT Bike_stands, available_bikes, available_bike_stands, ID_station, Pluie, Temperature, Risque_neige, request_time FROM Station_dynamic NATURAL JOIN Station_static NATURAL JOIN Meteo WHERE ID_station = 5022 AND request_time BETWEEN 1414753275.636954 AND 1414839675.761291
SELECT Bike_stands, available_bikes, available_bike_stands, ID_station, Pluie, Temperature, Risque_neige, request_time FROM Station_dynamic NATURAL JOIN Station_static NATURAL JOIN Meteo WHERE ID_station = 5022 AND request_time BETWEEN 1415358000.820908 AND 1415444400.94688
Criteres : Heure Minute Temperature Pluie
horodotage : 30.0
49
(17, 16, 1, 5022, 0.0, 293.1, u'FALSE', 1414753275.636954)
(17, 13, 4, 5022, 0.0, 293.1, u'FALSE', 1414755075.639469)
(17, 10, 7, 5022, 0.0, 293.1, u'FALSE', 1414756875.641913)
(17, 4, 13, 5022, 0.0, 290.9, u'FALSE', 1414758675.644429)
(17, 8, 9, 5022, 0.0, 290.9, u'FALSE', 1414760475.646923)
(17, 7, 10, 5022, 0.0, 290.9, u'FALSE', 1414762275.649406)
(17, 3, 13, 5022, 0.0, 290.9, u'FALSE', 1414764075.652066)
(17, 1, 16, 5022, 0.0, 290.9, u'FALSE', 1414765875.654574)
(17, 3, 14, 5022, 0.0, 290.9, u'FALSE', 1414767675.657017)
(17, 2, 15, 5022, 0.0, 285.7, u'FALSE', 1414769475.659605)
(17, 4, 13, 5022, 0.0, 285.7, u'FALSE', 1414771275.66217)
(17, 1, 16, 5022, 0.0, 285.7, u'FALSE', 1414773075.66489)
(17, 2, 15, 5022, 0.0, 285.7, u'FALSE', 1414774875.667476)
(17, 3, 14, 5022, 0.0, 285.7, u'FALSE', 1414776675.670121)
(17, 9, 8, 5022, 0.0, 285.7, u'FALSE', 1414778475.672603)
(17, 6, 11, 5022, 0.0, 284.9, u'FALSE', 1414780275.675069)
(17, 9, 8, 5022, 0.0, 284.9, u'FALSE', 1414782075.677652)
(17, 8, 9, 5022, 0.0, 284.9, u'FALSE', 1414783875.680257)
(17, 6, 11, 5022, 0.0, 284.9, u'FALSE', 1414785675.682869)
(17, 4, 13, 5022, 0.0, 284.9, u'FALSE', 1414787475.685399)
(17, 3, 14, 5022, 0.0, 284.9, u'FALSE', 1414789275.687763)
(17, 6, 11, 5022, 0.0, 284.2, u'FALSE', 1414791075.690198)
(17, 8, 9, 5022, 0.0, 284.2, u'FALSE', 1414792875.692866)
(17, 8, 9, 5022, 0.0, 284.2, u'FALSE', 1414794675.695375)
(17, 9, 8, 5022, 0.0, 284.2, u'FALSE', 1414796475.69803)
(17, 9, 8, 5022, 0.0, 284.2, u'FALSE', 1414798275.700686)
(17, 8, 9, 5022, 0.0, 284.2, u'FALSE', 1414800075.703263)
(17, 6, 11, 5022, 0.0, 283.4, u'FALSE', 1414801875.705739)
(17, 9, 8, 5022, 0.0, 283.4, u'FALSE', 1414803675.708338)
(17, 7, 10, 5022, 0.0, 283.4, u'FALSE', 1414805475.710908)
(17, 5, 12, 5022, 0.0, 283.4, u'FALSE', 1414807275.713602)
(17, 1, 16, 5022, 0.0, 283.4, u'FALSE', 1414809075.716241)
(17, 3, 14, 5022, 0.0, 283.4, u'FALSE', 1414810875.718782)
(17, 6, 11, 5022, 0.0, 282.7, u'FALSE', 1414812675.721544)
(17, 7, 10, 5022, 0.0, 282.7, u'FALSE', 1414814475.724137)
(17, 7, 10, 5022, 0.0, 282.7, u'FALSE', 1414816275.726626)
(17, 7, 10, 5022, 0.0, 282.7, u'FALSE', 1414818075.729364)
(17, 6, 11, 5022, 0.0, 282.7, u'FALSE', 1414819875.731975)
(17, 4, 13, 5022, 0.0, 282.7, u'FALSE', 1414821675.734628)
(17, 4, 13, 5022, 0.0, 287.9, u'FALSE', 1414823475.737273)
(17, 4, 13, 5022, 0.0, 287.9, u'FALSE', 1414825275.73999)
(17, 4, 13, 5022, 0.0, 287.9, u'FALSE', 1414827075.742649)
(17, 4, 13, 5022, 0.0, 287.9, u'FALSE', 1414828875.745269)
(17, 4, 13, 5022, 0.0, 287.9, u'FALSE', 1414830675.747987)
(17, 6, 11, 5022, 0.0, 287.9, u'FALSE', 1414832475.750602)
(17, 7, 10, 5022, 0.0, 292.9, u'FALSE', 1414834275.7532)
(17, 5, 12, 5022, 0.0, 292.9, u'FALSE', 1414836075.755855)
(17, 2, 15, 5022, 0.0, 292.9, u'FALSE', 1414837875.758644)
(17, 1, 16, 5022, 0.0, 292.9, u'FALSE', 1414839675.761291)
49
(17, 5, 12, 5022, 0.1, 285.4, u'FALSE', 1415358000.820908)
(17, 7, 10, 5022, 0.1, 285.4, u'FALSE', 1415359800.82342)
(17, 6, 11, 5022, 0.1, 285.4, u'FALSE', 1415361600.826073)
(17, 4, 12, 5022, 0.0, 284.6, u'FALSE', 1415363400.828683)
(17, 0, 17, 5022, 0.0, 284.6, u'FALSE', 1415365200.831473)
(17, 0, 17, 5022, 0.0, 284.6, u'FALSE', 1415367000.833912)
(17, 0, 17, 5022, 0.0, 284.6, u'FALSE', 1415368800.836426)
(17, 1, 16, 5022, 0.0, 284.6, u'FALSE', 1415370600.839308)
(17, 1, 16, 5022, 0.0, 284.6, u'FALSE', 1415372400.841938)
(17, 2, 15, 5022, 0.0, 281.1, u'FALSE', 1415374200.844662)
(17, 1, 16, 5022, 0.0, 281.1, u'FALSE', 1415376000.847361)
(17, 0, 17, 5022, 0.0, 281.1, u'FALSE', 1415377800.849956)
(17, 0, 17, 5022, 0.0, 281.1, u'FALSE', 1415379600.852585)
(17, 3, 14, 5022, 0.0, 281.1, u'FALSE', 1415381400.855035)
(17, 0, 17, 5022, 0.0, 281.1, u'FALSE', 1415383200.857524)
(17, 1, 16, 5022, 0.0, 280.6, u'FALSE', 1415385000.859982)
(17, 6, 11, 5022, 0.0, 280.6, u'FALSE', 1415386800.862674)
(17, 4, 13, 5022, 0.0, 280.6, u'FALSE', 1415388600.865087)
(17, 10, 7, 5022, 0.0, 280.6, u'FALSE', 1415390400.867717)
(17, 5, 12, 5022, 0.0, 280.6, u'FALSE', 1415392200.870297)
(17, 3, 14, 5022, 0.0, 280.6, u'FALSE', 1415394000.872944)
(17, 0, 17, 5022, 0.0, 280.0, u'FALSE', 1415395800.875579)
(17, 4, 13, 5022, 0.0, 280.0, u'FALSE', 1415397600.878366)
(17, 2, 15, 5022, 0.0, 280.0, u'FALSE', 1415399400.88101)
(17, 2, 15, 5022, 0.0, 280.0, u'FALSE', 1415401200.883691)
(17, 1, 16, 5022, 0.0, 280.0, u'FALSE', 1415403000.886411)
(17, 2, 15, 5022, 0.0, 280.0, u'FALSE', 1415404800.888965)
(17, 3, 14, 5022, 0.0, 279.3, u'FALSE', 1415406600.891673)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415408400.894298)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415410200.896947)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415412000.899668)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415413800.902244)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415415600.904743)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415417400.907407)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415419200.909917)
(17, 0, 17, 5022, 0.0, 279.3, u'FALSE', 1415421000.912632)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415422800.915192)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415424600.91769)
(17, 1, 16, 5022, 0.0, 279.3, u'FALSE', 1415426400.920374)
(17, 0, 17, 5022, 0.0, 282.9, u'FALSE', 1415428200.922995)
(17, 1, 16, 5022, 0.0, 282.9, u'FALSE', 1415430000.925666)
(17, 0, 17, 5022, 0.0, 282.9, u'FALSE', 1415431800.928101)
(17, 0, 17, 5022, 0.0, 282.9, u'FALSE', 1415433600.930733)
(17, 0, 17, 5022, 0.0, 282.9, u'FALSE', 1415435400.933192)
(17, 0, 17, 5022, 0.0, 282.9, u'FALSE', 1415437200.936052)
(17, 0, 17, 5022, 0.0, 287.4, u'FALSE', 1415439000.938839)
(17, 2, 15, 5022, 0.0, 287.4, u'FALSE', 1415440800.941367)
(17, 0, 17, 5022, 0.0, 287.4, u'FALSE', 1415442600.944271)
(17, 3, 14, 5022, 0.0, 287.4, u'FALSE', 1415444400.94688)
