-0.478261 0 -0.1 0
-0.478261 1 -0.116 0
-0.391304 0 -0.116 0
-0.391304 1 0.164 0.1
-0.304348 0 0.164 0.1
-0.304348 1 0.164 0.1
-0.217391 0 0.164 0.1
-0.217391 1 0.164 0.1
-0.130435 0 0.164 0.1
-0.130435 1 0.3 0.1
-0.0434783 0 0.3 0.1
-0.0434783 1 0.3 0.1
0.0434783 1 0.3 0.1
0.130435 0 0.3 0.1
0.130435 1 0.28 0.2
0.217391 0 0.28 0.2
0.217391 1 0.28 0.2
0.304348 0 0.28 0.2
0.304348 1 0.28 0.2
0.391304 0 0.28 0.2
0.391304 1 0.156 0.1
0.478261 0 0.156 0.1
0.478261 1 0.156 0.1
0.565217 0 0.156 0.1
0.565217 1 0.156 0.1
0.652174 0 0.156 0.1
0.652174 1 -0.152 0
0.73913 1 -0.176 0
0.826087 0 -0.176 0
0.826087 1 -0.176 0
0.913043 0 -0.176 0
0.913043 1 -0.356 0
1 0 -0.356 0
1 1 -0.356 0
-1 0 -0.356 0
-1 1 -0.356 0
-0.913043 0 -0.356 0
-0.913043 1 -0.388 0
-0.826087 0 -0.388 0
-0.826087 1 -0.388 0
-0.478261 1 -0.032 0
-0.391304 0 -0.032 0
-0.391304 1 0.108 0.4
-0.304348 0 0.108 0.4
-0.304348 1 0.108 0.4
-0.217391 0 0.108 0.4
-0.217391 1 0.108 0.4
-0.130435 0 0.108 0.4
-0.130435 1 0.268 1
-0.0434783 0 0.268 1
-0.0434783 1 0.268 1

